,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
0,2019-01-30T00:00:36,90.0,1.343187147694551,R,2.9746,1998OH/1998OH_90s_b2x2-010_R.fit
1,2019-01-30T00:16:06,90.0,1.4241135319722649,R,3.0984,1998OH/1998OH_90s_b2x2-020_R.fit
2,2019-01-30T00:31:34,90.0,1.5219453337421727,R,3.1421,1998OH/1998OH_90s_b2x2-030_R.fit
3,2019-01-30T00:47:03,90.0,1.641612219294747,R,3.3279,1998OH/1998OH_90s_b2x2-040_R.fit
4,2019-01-30T01:02:31,90.0,1.789447076800531,R,3.6356,1998OH/1998OH_90s_b2x2-050_R.fit
13,2019-01-30T01:26:01,10.0,1.767499135509606,No Filter,2.8966,A10BMLZ/A10BMLZ_10s_b2x2-010_SF.fit
14,2019-01-30T01:28:08,10.0,1.7750855959529521,No Filter,2.9532,A10BMLZ/A10BMLZ_10s_b2x2-020_SF.fit
15,2019-01-30T01:30:18,10.0,1.7831012888075688,No Filter,3.0038,A10BMLZ/A10BMLZ_10s_b2x2-030_SF.fit
16,2019-01-30T01:32:27,10.0,1.7912570122692886,No Filter,3.1172,A10BMLZ/A10BMLZ_10s_b2x2-040_SF.fit
17,2019-01-30T01:34:34,10.0,1.7996245298930187,No Filter,3.172,A10BMLZ/A10BMLZ_10s_b2x2-050_SF.fit
18,2019-01-30T01:36:40,10.0,1.808192028594177,No Filter,3.3966,A10BMLZ/A10BMLZ_10s_b2x2-060_SF.fit
19,2019-01-30T01:38:46,10.0,1.8169467679890374,No Filter,3.514,A10BMLZ/A10BMLZ_10s_b2x2-070_SF.fit
5,2019-01-30T03:23:22,90.0,1.476814218350719,R,3.1678,2003YE45/2003YE45_90s_b2x2-005_R.fit
6,2019-01-30T03:31:06,90.0,1.5317731080262222,R,3.9505,2003YE45/2003YE45_90s_b2x2-010_R.fit
7,2019-01-30T03:38:48,90.0,1.5925994230198657,R,4.0638,2003YE45/2003YE45_90s_b2x2-015_R.fit
8,2019-01-30T03:46:33,90.0,1.6608840409195738,R,4.0728,2003YE45/2003YE45_90s_b2x2-020_R.fit
9,2019-01-30T03:54:18,90.0,1.7373692654053123,R,4.2893,2003YE45/2003YE45_90s_b2x2-025_R.fit
10,2019-01-30T04:02:01,90.0,1.8230334832443982,R,4.3598,2003YE45/2003YE45_90s_b2x2-030_R.fit
11,2019-01-30T04:09:43,90.0,1.9196439148894338,R,4.4103,2003YE45/2003YE45_90s_b2x2-035_R.fit
12,2019-01-30T04:23:30,90.0,2.127300026739419,R,4.5977,2003YE45/2003YE45_90s_b2x2-040_R.fit
20,2019-01-30T06:39:27,90.0,2.1678710866489705,R,3.6208,2003CP20/2003CP20_90s_b2x2-005_R.fit
21,2019-01-30T06:47:12,90.0,2.0463755117506763,R,3.6711,2003CP20/2003CP20_90s_b2x2-010_R.fit
22,2019-01-30T06:54:57,90.0,1.939967650933358,R,4.514,2003CP20/2003CP20_90s_b2x2-015_R.fit
23,2019-01-30T07:02:41,90.0,1.8463693512874615,R,4.5467,2003CP20/2003CP20_90s_b2x2-020_R.fit
24,2019-01-30T07:10:25,90.0,1.76339596704954,R,5.0047,2003CP20/2003CP20_90s_b2x2-025_R.fit
