,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-03-01T22:46:58,R,40.0,1.1385397865374822,2.1745,2,1.318111905157679,1998NU_40s_b2x2-001_R.fit
1,2019-03-02T00:00:40,R,40.0,1.0770298736721358,2.1708,2,1.3604574424518432,1998NU_40s_b2x2-044_R.fit
2,2019-03-02T01:20:10,R,40.0,1.1465551529619558,1.8409,2,1.1112071445190999,1998NU_40s_b2x2-054_R.fit
3,2019-03-02T02:01:18,R,40.0,1.2507006099242286,2.1941,2,1.2570894976045324,1998NU_40s_b2x2-078_R.fit
4,2019-03-02T03:00:17,R,40.0,1.053168213223436,2.1161,2,1.3441240107533274,2019CT4_40s_b2x2-022_R.fit
0,2019-03-03T00:04:51,R,40.0,1.1844403892632442,4.1323,2,2.446164819290398,2019CT4_40s_b2x2-006_R.fit
0,2019-03-09T02:33:16,R,40.0,1.431090761566003,1.9146,2,1.0117647520020976,1998NU_40s_b2x2-001_R.fit
1,2019-03-09T03:00:24,R,40.0,1.617732025960524,1.8339,2,0.9003958781248378,1998NU_40s_b2x2-040_R.fit
2,2019-03-09T04:00:32,R,40.0,2.442613076957495,2.2336,2,0.8564349694991543,1998NU_40s_b2x2-126_R.fit
0,2019-03-29T22:14:19,R,40.0,1.0827219471335607,2.1216,2,1.325424946028573,1998NU_40s_b2x2-001_R.fit
1,2019-03-29T23:00:21,R,40.0,1.0383716367222169,1.6351,2,1.04745271330195,1998NU_40s_b2x2-064_R.fit
2,2019-03-30T00:00:04,R,40.0,1.0466190390549128,1.5185,2,0.9681517068279418,1998NU_40s_b2x2-140_R.fit
3,2019-03-30T01:00:02,R,40.0,1.1340604613939869,1.6576,2,1.00716310992817,1998NU_40s_b2x2-223_R.fit
4,2019-03-30T02:00:15,R,40.0,1.338561608196695,1.7026,2,0.9365509481646691,1998NU_40s_b2x2-295_R.fit
5,2019-03-30T03:00:20,R,40.0,1.7854380687369047,1.9504,2,0.9025652563306248,1998NU_40s_b2x2-380_R.fit
6,2019-03-30T04:00:40,R,40.0,1.2526397837846155,1.9111,2,1.093929891822812,666_40s_b2x2-026_R.fit
7,2019-03-30T05:00:08,R,40.0,1.6131412856633154,2.2792,2,1.1209359298789103,666_40s_b2x2-102_R.fit
8,2019-03-30T05:42:30,R,40.0,2.1398126185599176,2.0041,2,0.831947151531621,666_40s_b2x2-142_R.fit
0,2019-03-31T23:47:27,R,40.0,1.0370627139185018,1.5498,2,0.9935607854091343,1998NU_40s_b2x2-001_R.fit
1,2019-04-01T00:00:07,R,40.0,1.0452454396395996,1.4149,2,0.9028104458105966,1998NU_40s_b2x2-019_R.fit
2,2019-04-01T01:01:42,R,40.0,1.1384263758914404,1.4448,2,0.8758436004582529,1998NU_40s_b2x2-076_R.fit
